الجهة,اسم المنافسة,تاريخ الترسية,قيمة المنافسة  بالريال السعودي
المؤسسة العامة لتحلية المياه المالحة,مشرع الطاقة الشمسية في أنظمة خطوط نقل راس الخير,2022-12-21,2376924.85
جامعة تبوك,تشغيل مركز دفاع الامن السيبراني بجامعة تبوك,2022-10-20,11809925.37
بلدية محافظة صامطة,صيانة الانارة بمحافظة صامطة والقرى التابعة ,2023-02-02,6718512.75
مدينة الملك سعود الطبية,مشروع احلال محطة المياه الجوفية بالبرج الطبي الثاني,2022-10-12,881015.0
مستشفى الملك فيصل التخصصي ومركز الأبحاث,تقديم خدمات لمركز عمليات الأمن السيبراني لمستشفى الملك فيصل التخصصي,2022-11-07,19492109.0
هيئة تطوير منطقة المدينة المنورة,تأمين وتوريد الرخص الهندسية للحاسب الآلي,2022-09-27,694329.75
المديرية العامة للشؤون الصحية بالمنطقة الشرقية,تأمين استضافة للنسخ الاحتياطي و بعض الخدمات الإضافية للاستضافة  لإدارة تقينة المعلومات بصحة الشرقية ,2022-09-01,159724.42
مدينة الملك فهد الطبية,منافسة تحديث أثاث المركز التعليمي,2022-11-28,875679.0
أمانة منطقة الحدود الشمالية, مشروع صيانة الطرق المستلمة من فرع وزارة النقل والخدمات اللوجستية داخل النطاق العمراني لمدينة عرعر,2023-01-26,17834947.5
بلدية أضم,صيانة مباني ومرافق البلدية بأضم,2022-10-26,1645937.5
مستشفى الملك فيصل التخصصي ومركز الابحاث-جدة,تجهيز وتهيئة استراحة الموظفين وغرفة الاستشارة الطبية -قسم العناية المركزة للجراحة والباطنة الدور الثاني -مبنى المستشفى الرئيسي جدة–مستشفى الملك فيصل التخصصي ومركز الابحاث ,2023-01-27,257979.5
المركز الوطني للأرصاد,مشروع تقديم خدمات استشارية لتطوير أنظمة الصحة و السلامة و البيئة ,2022-12-08,504275.0
وزارة الرياضة,صيانة ونظافة وتشغيل مبنى وزارة الرياضة والملحق بالرياض,2022-09-21,43998950.55
أمانة منطقة الرياض,صيانة الأسفلت وأعمدة الإنارة بالطرق والشوارع والأحياء وتصدعات طلعة الجبل على امتداد شارع أبو بكر الصديق .,2022-08-18,4111963.0
أمانة منطقة الباحة,دراسة بيئية لموقع مرمى نفايات البلدية ,2022-09-19,124430.0
الهيئة السعودية للبيانات والذكاء الاصطناعي,تطوير موزعات الشبكة للمستخدمين في المركز UNSU,2022-09-21,14301387.95
إدارة التعليم بمحافظة الزلفي,صيانة واصلاح المصاعد الكهربائية للمباني الإدارية والمدرسية ,2022-12-01,546480.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,إعادة تأهيل ملعب نادي رضوى 3 الرياضي بمدينة ينبع الصناعية,2023-06-21,1395858.5
إدارة التعليم بمحافظة الطائف,نظافة المباني المدرسية بقطاع شرق التابع لإدارة التعليم بمحافظة الطائف,2023-03-14,15827040.03
أمانة منطقة الرياض,توريد وتركيب محولات كهربائية لبلدية الحلوة,2022-08-31,308775.0
وزارة الشئون البلدية والقروية والأسكان,مشروع تشغيل وصيانة أعمال انتاج الخرائط,2022-12-01,4784184.0
بلدية محافظة رابغ,مشروع سفلتة وارصفة وانارة المحور الشمالي,2022-12-09,2474800.0
أمانة منطقة الحدود الشمالية,مشروع صيانة الطرق المستلمة من فرع وزارة النقل والخدمات اللوجستية داخل النطاق العمراني لمدينة محافظة طريف ,2023-01-02,18262000.0
أمانة منطقة الحدود الشمالية,مشروع صيانة الطرق المستلمة من فرع وزارة النقل والخدمات اللوجستية داخل النطاق العمراني لبلدية أم خنصر ,2023-01-12,11998042.0
أمانة منطقة الرياض,توريد حديد تسليح وخشب لبلدية الحلوة ,2022-08-23,280945.0
هيئة الزكاة والدخل,تأهيل وتطوير مبنى الصالة الشاملة بميناء جازان والصالة الشاملة بميناء ضباء ,2022-08-10,7882358.75
أمانة منطقة الرياض,اعمال جسات اختبار التربة ببلدية الحلوة ,2022-09-13,202170.0
أمانة منطقة الحدود الشمالية,مشروع صيانة الطرق المستلمة من فرع وزارة النقل والخدمات اللوجستية داخل النطاق العمراني بروضة هباس والخشيبي,2023-01-02,7238410.5
أمانة منطقة الحدود الشمالية,التشغيل وصيانة الطرق ,2023-01-16,12429671.5
أمانة منطقة الحدود الشمالية, مشروع صيانة الطرق المستلمة من فرع وزارة النقل والخدمات اللوجستية  لبلدية لينة,2023-01-12,10908348.0
وزارة السياحة,توريد وبناء البنية التحتية لتكنولوجيا المعلومات للبرنامج الوطني للربط الجوي,2022-08-29,2803700.0
هيئة الصحة العامة,مشروع تأهيل منطقة الفريزرات بالجناح (د) بالقبو في هيئة الصحة العامة ,2022-12-29,799993.5
وزارة البيئة والمياه والزراعة,تنفيذ المهرجان التسويقي لإنتاج العسل وطرود ملكات النحل في منطقة تبوك,2022-12-13,296700.0
الهيئة العامة للغذاء والدواء,مشروع قياس جوانب الضعف وإبراز نقاط القوة وفرص التطوير في الخدمات ( المتعامل السري  ),2022-10-02,660675.0
بنك التنمية الاجتماعية,تأسيس مركز بيانات جديد ونقل واستضافة مركز البيانات الاحتياطي للبنك ,2023-01-06,16999346.0
الهيئة العامة للطيران المدني,منافسة مشروع استبدال وحدات التكييف مبردات المياه بالصالة الملكية بمطار الأمير محمد بن عبد العزيز الدولي بالمدينة المنورة,2022-11-14,2995566.0
المركز السعودى لكفاءة الطاقة,استضافة وحماية أنظمة البريد الإلكتروني والبوابات الإلكترونية التابعة للمركز,2022-08-04,2986642.0
جامعة أم القرى,تامين وتوريد وتركيب ملابس واجهزة  وأدوات رياضية ,2022-09-20,1122202.2
أمانة منطقة الرياض,توريد محروقات (ديزل)لقسم الصيانة والتشغيل ببلدية الجمش لعام2022,2022-07-20,206500.0
هيئة تقويم التعليم والتدريب,تأمين حراسات أمنية لمبني الهيئة ومقرات الاختبارات الرياض(مقر الهيئة بحي الندى-الصحافة-الزهراء)-ضباء-تيماء-  الليث-مهد الذهب,2022-09-20,8644331.4
جامعة الإمام عبدالرحمن بن فيصل,ربط أجهزة مراقبة التخدير ومراقبة العلامات الحيوية والأجهزة الملحقة بها بالنظام الطبي الجديد,2023-03-14,4616500.0
الشئون الصحية بمنطقة نجران,منافسة التدريب برامج اداريه 2022/3,2022-09-15,145388.75
أمانة منطقة تبوك,توريد و تركيب مستشعر بصمة وجه وعين ثنائي وعشر نقاط شباك لاسلكية,2022-09-13,103975.53
وزارة البيئة والمياه والزراعة,تقديم الدعم الاستشاري لتعزيز التوطين بحرفة الزراعة,2022-09-25,24990075.0
الهيئة العليا لتطوير منطقة حائل,:  تصميم وتطوير وتشغيل واستضافة الموقع الإلكتروني للهيئة ,2023-02-06,792836.84
